language	digit	gender
French	10	F
French	1	F
French	2	F
French	3	F
French	4	F
French	5	F
French	6	F
French	7	F
French	8	F
French	9	F
French	10	F
French	1	F
French	2	F
French	3	F
French	4	F
French	5	F
French	6	F
French	7	F
French	8	F
French	9	F
French	10	M
French	1	M
French	2	M
French	3	M
French	4	M
French	5	M
French	6	M
French	7	M
French	8	M
French	9	M
French	10	F
French	1	F
French	2	F
French	3	F
French	4	F
French	5	F
French	6	F
French	7	F
French	8	F
French	9	F
French	3	F
French	4	F
French	5	F
French	7	F
French	8	F
French	9	F
French	10	F
French	1	F
French	2	F
French	3	F
French	4	F
French	5	F
French	6	F
French	7	F
French	8	F
French	9	F
French	1	M
French	2	M
French	5	M
French	8	M
Italian	10	F
Italian	1	F
Italian	2	F
Italian	3	F
Italian	4	F
Italian	5	F
Italian	6	F
Italian	7	F
Italian	8	F
Italian	9	F
Italian	10	F
Italian	1	F
Italian	2	F
Italian	3	F
Italian	4	F
Italian	5	F
Italian	6	F
Italian	7	F
Italian	8	F
Italian	9	F
Italian	10	F
Italian	1	F
Italian	2	F
Italian	3	F
Italian	4	F
Italian	5	F
Italian	6	F
Italian	7	F
Italian	8	F
Italian	9	F
Italian	10	F
Italian	1	F
Italian	2	F
Italian	3	F
Italian	4	F
Italian	5	F
Italian	6	F
Italian	7	F
Italian	8	F
Italian	9	F
Italian	10	F
Italian	1	F
Italian	2	F
Italian	3	F
Italian	4	F
Italian	5	F
Italian	6	F
Italian	7	F
Italian	8	F
Italian	9	F
Portuguese	1	M
Portuguese	2	M
Portuguese	3	M
Portuguese	4	M
Portuguese	5	M
Portuguese	6	M
Portuguese	7	M
Portuguese	8	M
Portuguese	9	M
Portuguese	10	F
Portuguese	1	F
Portuguese	2	F
Portuguese	3	F
Portuguese	4	F
Portuguese	5	F
Portuguese	6	F
Portuguese	7	F
Portuguese	8	F
Portuguese	9	F
Portuguese	10	F
Portuguese	1	F
Portuguese	2	F
Portuguese	7	F
Portuguese	8	F
Portuguese	9	F
American_Spanish	1	F
American_Spanish	2	F
American_Spanish	3	F
American_Spanish	4	F
American_Spanish	5	F
American_Spanish	6	F
American_Spanish	10	M
American_Spanish	1	M
American_Spanish	2	M
American_Spanish	3	M
American_Spanish	4	M
American_Spanish	5	M
American_Spanish	6	M
American_Spanish	7	M
American_Spanish	8	M
American_Spanish	9	M
American_Spanish	10	F
American_Spanish	1	F
American_Spanish	2	F
American_Spanish	3	F
American_Spanish	4	F
American_Spanish	5	F
American_Spanish	6	F
American_Spanish	7	F
American_Spanish	8	F
American_Spanish	9	F
American_Spanish	10	F
American_Spanish	1	F
American_Spanish	2	F
American_Spanish	3	F
American_Spanish	4	F
American_Spanish	5	F
American_Spanish	6	F
American_Spanish	7	F
American_Spanish	8	F
American_Spanish	9	F
American_Spanish	10	F
American_Spanish	1	F
American_Spanish	2	F
American_Spanish	3	F
American_Spanish	4	F
American_Spanish	5	F
American_Spanish	6	F
American_Spanish	7	F
American_Spanish	8	F
American_Spanish	9	F
Iberian_Spanish	1	F
Iberian_Spanish	2	F
Iberian_Spanish	3	F
Iberian_Spanish	4	F
Iberian_Spanish	5	F
Iberian_Spanish	6	F
Iberian_Spanish	7	F
Iberian_Spanish	8	F
Iberian_Spanish	9	F
Iberian_Spanish	10	M
Iberian_Spanish	1	M
Iberian_Spanish	2	M
Iberian_Spanish	3	M
Iberian_Spanish	4	M
Iberian_Spanish	5	M
Iberian_Spanish	6	M
Iberian_Spanish	7	M
Iberian_Spanish	8	M
Iberian_Spanish	9	M
Iberian_Spanish	1	F
Iberian_Spanish	2	F
Iberian_Spanish	3	F
Iberian_Spanish	4	F
Iberian_Spanish	5	F
Iberian_Spanish	6	F
Iberian_Spanish	7	F
Iberian_Spanish	8	F
Iberian_Spanish	9	F
Iberian_Spanish	10	M
Iberian_Spanish	1	M
Iberian_Spanish	2	M
Iberian_Spanish	3	M
Iberian_Spanish	4	M
Iberian_Spanish	5	M
Iberian_Spanish	6	M
Iberian_Spanish	7	M
Iberian_Spanish	8	M
Iberian_Spanish	9	M

